Batch,Site,Latitude,Longitude,Subregion,Zone,fHabitat,Habitat,SiteComments,Team,TransectNum,Date,EndDepth,Surveyor,shared,Buddy,TransectComments,Species,Width,Height,Bleaching,OldMortality,RecentMortality,OtherRecentMortality,DiseaseRecentMoratlity,TLRate,dCondition,oCondition
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,35,25,Not Bleached,20,0,0,0,NULL,NULL,OGI
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,12,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,15,10,Not Bleached,60,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SINT,15,5,Not Bleached,70,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,80,50,Not Bleached,80,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,100,70,Not Bleached,80,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,MCAV,50,35,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,25,20,Not Bleached,20,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,140,90,Not Bleached,15,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,143,99,Not Bleached,80,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,CNAT,19,7,Not Bleached,30,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,89,63,Not Bleached,33,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,MCAV,13,10,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,PAST,16,16,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,SSID,23,17,Not Bleached,65,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,61,40,Not Bleached,15,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,63,60,Not Bleached,40,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,SBOU,8,8,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,SSID,4,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,93,57,Not Bleached,50,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,129,104,Not Bleached,40,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,74,29,Not Bleached,75,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,23,19,Not Bleached,60,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,SSID,51,37,Not Bleached,33,0,0,0,NULL,NULL,OGI
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OANN,98,39,Not Bleached,33,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,9,RYBO,0,,,OFAV,134,79,Not Bleached,70,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,25,20,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,MCAV,50,35,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,150,100,Not Bleached,40,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,120,80,Not Bleached,40,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,80,80,Not Bleached,30,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,70,30,Not Bleached,20,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,100,100,Not Bleached,90,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,PPOR,20,10,Not Bleached,80,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,CNAT,10,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,25,15,Not Bleached,20,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,DSTO,20,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,120,50,Not Bleached,50,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,MCAV,15,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,10,1,Not Bleached,20,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,15,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,20,25,Not Bleached,50,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,15,4,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SINT,10,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,20,10,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,10,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,120,50,Not Bleached,80,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,20,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,15,3,Not Bleached,10,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,20,10,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,PPOR,16,8,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,15,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,7,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,48,33,Not Bleached,20,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,101,72,Not Bleached,10,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,21,4,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,50,42,Not Bleached,10,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,64,42,Not Bleached,20,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,44,39,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,18,4,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,5,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OFAV,170,62,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,15,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,12,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,18,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,5,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,6,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,22,5,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,17,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,14,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,13,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,10,1,Not Bleached,0,0,0,0,NULL,NULL,MUC
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,5,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,30,5,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,PPOR,10,8,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,50,20,Not Bleached,20,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,33,25,Not Bleached,5,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,25,10,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,49,32,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,MCAV,43,21,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,30,28,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,72,43,Not Bleached,10,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,35,20,Not Bleached,30,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,52,18,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,48,33,Not Bleached,10,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,72,40,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,MCAV,33,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,65,35,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SINT,16,5,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SINT,11,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,22,10,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,13,5,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,14,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,10,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,12,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,15,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,9,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,8,1,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,SSID,11,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,OANN,44,18,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1452,24.563206,-81.657397,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,2,9/11/2024,13,ALBO,0,,,MANG,24,10,Not Bleached,0,0,0,0,NULL,NULL,NULL
